node_id,page,name,width,height,current_radius,target_radius,level,instances,change
42420:57970,"Tap (탭) 🚧","Property 1=2depth_tab_02",335,40,10,12,Medium,0,true
42420:57976,"Tap (탭) 🚧","Property 1=New value",335,40,10,12,Medium,0,true
42420:57983,"Tap (탭) 🚧","Property 1=Variant2",335,40,10,12,Medium,0,true
42420:57990,"Tap (탭) 🚧","Property 1=Variant3",335,40,10,12,Medium,0,true
42441:53402,"Bage (뱃지) 🚧","Property 1=caption_round_24",60,24,12,10,Small,0,true
42441:53405,"Bage (뱃지) 🚧","Property 1=caption_round_text_24",42,24,12,10,Small,0,true
42441:53408,"Bage (뱃지) 🚧","Property 1=caption_oneway_24",60,24,12,10,Small,0,true
42441:53411,"Bage (뱃지) 🚧","Property 1=caption_oneway_text_24",42,24,12,10,Small,0,true
42441:53464,"Bage (뱃지) 🚧","checked=아쉬워요_on",91,90,10,20,Xlarge,0,true
42441:53467,"Bage (뱃지) 🚧","checked=평범해요_on",91,90,10,20,Xlarge,0,true
42441:53470,"Bage (뱃지) 🚧","checked=만족해요_on",91,90,10,20,Xlarge,0,true
42441:53473,"Bage (뱃지) 🚧","checked=아쉬워요_off",91,90,10,20,Xlarge,0,true
42441:53476,"Bage (뱃지) 🚧","checked=평범해요_off",91,90,10,20,Xlarge,0,true
42441:53479,"Bage (뱃지) 🚧","checked=만족해요_off",91,90,10,20,Xlarge,0,true
42454:19345,"Text field (텍스트필드) 🚧","Property 1=Certify, Property 2=Typing",335,48,8,12,Medium,1,true
42454:19817,"Text field (텍스트필드) 🚧","Property 1=Long, Property 2=Typing",335,120,8,20,Xlarge,0,true
42454:19840,"Text field (텍스트필드) 🚧","Property 1=Long, Property 2=Default",335,129,8,20,Xlarge,6,true
42454:19843,"Text field (텍스트필드) 🚧","Property 1=Short, Property 2=Typing",335,48,8,12,Medium,0,true
42454:19846,"Text field (텍스트필드) 🚧","Property 1=Short, Property 2=Focus Out",335,48,8,12,Medium,0,true
42454:19849,"Text field (텍스트필드) 🚧","Property 1=Short, Property 2=Default",335,48,8,12,Medium,1,true
42763:34576,"Checkbox (체크 박스) ✅","Checkbox/square-check",24,24,4,10,Small,17,true
43094:29006,"Elevation system (엘리베이션 시스템) 🚧","Property 1=top_info_freezone",320,48,10,12,Medium,0,true
43094:29011,"Elevation system (엘리베이션 시스템) 🚧","Property 1=top_info_oda",320,48,10,12,Medium,0,true
43094:29022,"Elevation system (엘리베이션 시스템) 🚧","Property 1=top_info_bookmark",320,48,10,12,Medium,0,true
43213:28069,"Bottom sheet (바텀시트) 🚧","value=title_only",360,56,20,14,Medium,0,true
43213:28071,"Bottom sheet (바텀시트) 🚧","value=expand_btn",360,32,20,10,Small,0,true
43213:28073,"Bottom sheet (바텀시트) 🚧","value=value6",360,20,20,8,Small,0,true
43213:28075,"Bottom sheet (바텀시트) 🚧","value=2btn_title",360,56,20,14,Medium,0,true
43213:28077,"Bottom sheet (바텀시트) 🚧","value=default",360,56,20,14,Medium,0,true
43213:28079,"Bottom sheet (바텀시트) 🚧","value=ico_text",360,56,20,14,Medium,0,true
44082:9276,"Picker (피커) ✅","value=title_only",360,56,20,14,Medium,0,true
44082:9278,"Picker (피커) ✅","value=expand_btn",360,32,20,10,Small,0,true
44082:9280,"Picker (피커) ✅","value=value6",360,20,20,8,Small,0,true
44082:9282,"Picker (피커) ✅","value=2btn_title",360,56,20,14,Medium,0,true
44082:9284,"Picker (피커) ✅","value=default",360,56,20,14,Medium,0,true
44082:9286,"Picker (피커) ✅","value=ico_text",360,56,20,14,Medium,0,true
