판정,레거시 스타일,node_id,HEX,정본 대상,정본 HEX,색차(ΔE),비고
ABSORB,"Brand Color/G car Red","42312:20352","#ED1C24","Primary/Red 050","#ED1C24",0,""
ABSORB,"Brand Color/L.POINT","40241:26621","#009BFA","Brand/L.POINT","#009BFA",0,""
ABSORB,"Brand Color/L.POINT","41321:27543","#009BFA","Brand/L.POINT","#009BFA",0,""
ABSORB,"Brand Color/L.POINT","42070:47903","#009BFA","Brand/L.POINT","#009BFA",0,""
ABSORB,"Brand Color/L.POINT","42342:70320","#009BFA","Brand/L.POINT","#009BFA",0,""
ABSORB,"Brand Color/L.POINT","43207:38071","#009BFA","Brand/L.POINT","#009BFA",0,""
ABSORB,"Brand Color/L.POINT","44312:17269","#009BFA","Brand/L.POINT","#009BFA",0,""
ABSORB,"Brand Color/L.POINT2","40241:26622","#0079C3","Brand/L.POINT 2","#0079C3",0,""
ABSORB,"Brand Color/L.POINT2","40613:37706","#0079C3","Brand/L.POINT 2","#0079C3",0,""
ABSORB,"Brand Color/L.POINT2","41321:27542","#0079C3","Brand/L.POINT 2","#0079C3",0,""
ABSORB,"Brand Color/L.POINT2","42070:47904","#0079C3","Brand/L.POINT 2","#0079C3",0,""
ABSORB,"Brand Color/L.POINT2","42342:70321","#0079C3","Brand/L.POINT 2","#0079C3",0,""
ABSORB,"Brand Color/L.POINT2","44312:17270","#0079C3","Brand/L.POINT 2","#0079C3",0,""
ABSORB,"Brand Color/T membership","42629:20588","#3617CB","Brand/T Membership","#3617CB",0,""
ABSORB,"Brand/G car Gray","28406:194153","#3E3A39","Brand/G car Gray","#3E3A39",0,""
ABSORB,"Brand/G car Red","9895:134362","#ED1C24","Primary/Red 050","#ED1C24",0,""
ABSORB,"Brand/L.POINT","1564:15251","#009BFA","Brand/L.POINT","#009BFA",0,""
ABSORB,"Brand/L.POINT 2","9812:134433","#0079C3","Brand/L.POINT 2","#0079C3",0,""
ABSORB,"Brand/T Membership","3108:21429","#3617CB","Brand/T Membership","#3617CB",0,""
ABSORB,"COMPANY/lpoint_blue","6542:61633","#009BFA","Brand/L.POINT","#009BFA",0,""
ABSORB,"Default Logo","6542:61409","#00C88C","System/Success","#00C88C",0,""
ABSORB,"fill/input/default","43590:50111","#FFFFFF","Gray Scale/Gray 000","#FFFFFF",0,""
ABSORB,"First Green/g500_Default Logo","24115:101751","#00C88C","System/Success","#00C88C",0,""
ABSORB,"First Green/g500_Default Logo","42073:45129","#00C88C","System/Success","#00C88C",0,""
ABSORB,"First Green/g500_Default Logo","42107:181412","#00C88C","System/Success","#00C88C",0,""
ABSORB,"First Green/g500_Default Logo","42859:8412","#00C88C","System/Success","#00C88C",0,""
ABSORB,"First Green/Secondary/care","23379:80393","#59BBF2","Badge/Clean","#59BBF2",0,""
