판정,레거시 스타일,node_id,HEX,정본 대상,정본 HEX,색차(ΔE),비고
RETIRE,"Navy 020 *Disabled Btn","6483:56351","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"Second Navy/gray025","8388:88216","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"Second Navy/gray025","42303:62591","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"Second Navy/gray025","42686:14949","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"Second Navy/gray025","42814:15843","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"sub text","2399:13635","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"sub text","42505:36313","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"System Color/input_line","28576:30649","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"System Color/input_line","38433:42499","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"System Color/input_line","40917:27500","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"System Color/input_line","43984:5041","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"System/Input Line","23882:101559","#D9DDDF","Gray Scale/Gray 020","#E2E2E2",2.67,"시스템에서 제거 확정 (2026-08-04) — Gray Scale/Gray 020 으로 치환"
RETIRE,"Brand Color/lotte rental","28406:194258","#E50012","","",,"GDS 밖으로 분리 (2026-08-04) — 롯데 제휴 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Default/SystemBlue/Dark","42557:9960","#0A84FF","","",,"GDS 밖으로 분리 (2026-08-04) — iOS UIKit 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Default/SystemBlue/Dark","42939:54618","#0A84FF","","",,"GDS 밖으로 분리 (2026-08-04) — iOS UIKit 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Default/SystemBlue/Light","42557:9959","#007AFF","","",,"GDS 밖으로 분리 (2026-08-04) — iOS UIKit 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Default/SystemBlue/Light","42939:54616","#007AFF","","",,"GDS 밖으로 분리 (2026-08-04) — iOS UIKit 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Default/SystemGray/02/Dark","42557:10019","#636366","","",,"GDS 밖으로 분리 (2026-08-04) — iOS UIKit 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Default/SystemGray/02/Light","42557:10017","#AEAEB2","","",,"GDS 밖으로 분리 (2026-08-04) — iOS UIKit 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Global / Neutral Grey / 1000","44381:18195","#4F4D55","","",,"GDS 밖으로 분리 (2026-08-04) — Material / 외부 토큰셋 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Korail(Pending)/코레일_bg_button_normal dim","34081:270094","#CDE0EE","","",,"GDS 밖으로 분리 (2026-08-04) — 코레일 제휴 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Korail(Pending)/코레일_text_blue_b","34081:270015","#0066B3","","",,"GDS 밖으로 분리 (2026-08-04) — 코레일 제휴 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Korail(Pending)/코레일_text_button","34081:270099","#073B62","","",,"GDS 밖으로 분리 (2026-08-04) — 코레일 제휴 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Label Color/Dark/Secondary","42939:54698","#EBEBF5","","",,"GDS 밖으로 분리 (2026-08-04) — iOS UIKit 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Label Color/Light/Secondary","42939:54697","#3C3C43","","",,"GDS 밖으로 분리 (2026-08-04) — iOS UIKit 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Map Marker/active","28438:28868","#E50012","","",,"GDS 밖으로 분리 (2026-08-04) — 롯데 제휴 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"material-theme/sys/light/on-surface","43590:49594","#1E1B13","","",,"GDS 밖으로 분리 (2026-08-04) — Material / 외부 토큰셋 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Separator Color/Dark/With Transparency","42939:54629","#545458","","",,"GDS 밖으로 분리 (2026-08-04) — iOS UIKit 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"Separator Color/Light/With Transparency","42939:54615","#3C3C43","","",,"GDS 밖으로 분리 (2026-08-04) — iOS UIKit 소유. GDS 토큰으로 복제하지 않습니다"
RETIRE,"코레일_bg_button_normal/dim","34081:270093","#0066B3","","",,"GDS 밖으로 분리 (2026-08-04) — 코레일 제휴 소유. GDS 토큰으로 복제하지 않습니다"
REVIEW,"Sub 060 *default","23606:78362","#10CFC9","System/Success","#00C88C",30.88,"정본과 색차 큼 — 개별 판단"
REVIEW,"Sub Sky-Blue/Sub 060 *default","10791:143533","#10CFC9","System/Success","#00C88C",30.88,"정본과 색차 큼 — 개별 판단"
REVIEW,"Brand color/42C0C0","23606:78354","#42C0C0","Navy/Navy 030","#A1B1BB",30.38,"정본과 색차 큼 — 개별 판단"
REVIEW,"Brand Color/ODA_line","43590:49576","#BF7200","Badge/New Zone","#FD9F4D",20.01,"정본과 색차 큼 — 개별 판단"
REVIEW,"Brand/ODA Line","26042:188379","#BF7200","Badge/New Zone","#FD9F4D",20.01,"정본과 색차 큼 — 개별 판단"
REVIEW,"Interaction Color/FB060","23606:78366","#004A98","Map Marker/Corporation","#005E97",18.21,"정본과 색차 큼 — 개별 판단"
REVIEW,"primary/primary-50","44283:4573","#246BEB","Badge/New Car","#5B68FE",16.02,"정본과 색차 큼 — 개별 판단"
REVIEW,"Badge Color/ODA","42410:54441","#ED9A1E","Badge/New Zone","#FD9F4D",15.34,"정본과 색차 큼 — 개별 판단"
REVIEW,"Badge Color/ODA","42560:39570","#ED9A1E","Badge/New Zone","#FD9F4D",15.34,"정본과 색차 큼 — 개별 판단"
REVIEW,"Badge Color/ODA","42814:16152","#ED9A1E","Badge/New Zone","#FD9F4D",15.34,"정본과 색차 큼 — 개별 판단"
REVIEW,"Badge Color/ODA","43984:4717","#ED9A1E","Badge/New Zone","#FD9F4D",15.34,"정본과 색차 큼 — 개별 판단"
REVIEW,"Badge/ODA","9895:134363","#ED9A1E","Badge/New Zone","#FD9F4D",15.34,"정본과 색차 큼 — 개별 판단"
REVIEW,"ODA","5657:53927","#ED9A1E","Badge/New Zone","#FD9F4D",15.34,"정본과 색차 큼 — 개별 판단"
REVIEW,"Secondary/ODA","42859:8432","#ED9A1E","Badge/New Zone","#FD9F4D",15.34,"정본과 색차 큼 — 개별 판단"
REVIEW,"$-primary-400","7600:76396","#C04C50","Map Marker/Free Zone Line","#EB6565",13.31,"정본과 색차 큼 — 개별 판단"
REVIEW,"$-primary-400","7600:76438","#C04C50","Map Marker/Free Zone Line","#EB6565",13.31,"정본과 색차 큼 — 개별 판단"
REVIEW,"$-primary-400","7602:76559","#C04C50","Map Marker/Free Zone Line","#EB6565",13.31,"정본과 색차 큼 — 개별 판단"
REVIEW,"First Blue/Main 040","5197:53826","#68A0DA","Badge/Clean","#59BBF2",13.09,"정본과 색차 큼 — 개별 판단"
REVIEW,"fill/brand/primary","43590:50280","#1B69F1","Badge/New Car","#5B68FE",12.22,"정본과 색차 큼 — 개별 판단"
REVIEW,"text/brand/primary","43590:50041","#1B69F1","Badge/New Car","#5B68FE",12.22,"정본과 색차 큼 — 개별 판단"
REVIEW,"Badge Color/logo","9011:95367","#00AD79","System/Success","#00C88C",10.89,"정본과 색차 큼 — 개별 판단"
REVIEW,"Map Marker/active","40241:27784","#00AD73","System/Success","#00C88C",10.16,"정본과 색차 큼 — 개별 판단"
REVIEW,"Service Color/economy","9618:113809","#467BCE","Brand/L.POINT 2","#0079C3",9.9,"정본과 색차 큼 — 개별 판단"
REVIEW,"Def_Press","7610:76737","#303E47","Brand/G car Gray","#3E3A39",9.8,"정본과 색차 큼 — 개별 판단"
REVIEW,"Default Text","1823:11861","#303E47","Brand/G car Gray","#3E3A39",9.8,"정본과 색차 큼 — 개별 판단"
REVIEW,"Default Text","6047:55798","#303E47","Brand/G car Gray","#3E3A39",9.8,"정본과 색차 큼 — 개별 판단"
REVIEW,"default text","40241:26896","#303E47","Brand/G car Gray","#3E3A39",9.8,"정본과 색차 큼 — 개별 판단"
REVIEW,"Gray/907","1348:38785","#303E47","Brand/G car Gray","#3E3A39",9.8,"정본과 색차 큼 — 개별 판단"
REVIEW,"Navy 070 *Default Text","4772:50384","#303E47","Brand/G car Gray","#3E3A39",9.8,"정본과 색차 큼 — 개별 판단"
